index,history_time,stop_loss,rising_rate_restriction,trailing_time,trailing_stop,slope_time
0,69,0.069,0.11,9,0.1,10
1,78,0.056,0.11,12,0.079,18
2,87,0.083,0.15000000000000002,8,0.094,8
3,30,0.083,0.18,15,0.079,15
4,66,0.096,0.19,11,0.065,11
5,33,0.066,0.19,6,0.06,5
6,72,0.091,0.11,6,0.098,6
7,78,0.092,0.2,15,0.094,18
8,81,0.084,0.18,8,0.097,13
9,78,0.1,0.12000000000000001,7,0.095,17
10,63,0.07400000000000001,0.12000000000000001,12,0.041,18
11,81,0.099,0.17,13,0.059,5
12,60,0.07500000000000001,0.14,15,0.08399999999999999,6
13,27,0.088,0.19,15,0.049,13
14,72,0.064,0.13,8,0.045,10
15,24,0.094,0.12000000000000001,6,0.057,14
16,81,0.088,0.1,6,0.059,10
17,84,0.07100000000000001,0.1,7,0.053000000000000005,7
18,12,0.065,0.17,9,0.057,18
19,90,0.081,0.12000000000000001,13,0.056,10
20,33,0.055,0.1,11,0.06,11
21,57,0.088,0.13,14,0.054,3
22,45,0.093,0.12000000000000001,7,0.05,17
23,57,0.063,0.12000000000000001,8,0.044,5
24,18,0.08600000000000001,0.13,7,0.052000000000000005,6
25,78,0.057,0.16,10,0.07300000000000001,14
26,90,0.088,0.2,12,0.064,16
27,30,0.069,0.16,9,0.09,8
28,57,0.092,0.1,5,0.054,11
29,39,0.062,0.11,5,0.07300000000000001,16
30,69,0.081,0.13,5,0.09,8
31,72,0.08600000000000001,0.15000000000000002,13,0.049,15
32,75,0.060000000000000005,0.12000000000000001,6,0.093,12
33,54,0.08,0.18,8,0.089,4
34,45,0.08600000000000001,0.11,15,0.082,8
35,78,0.09,0.1,11,0.063,7
36,45,0.068,0.1,5,0.047,10
37,30,0.062,0.18,5,0.079,16
38,51,0.065,0.13,11,0.059,4
39,57,0.07,0.17,12,0.049,15
40,12,0.098,0.13,12,0.068,14
41,57,0.085,0.18,9,0.042,17
42,66,0.097,0.11,13,0.087,3
43,84,0.082,0.15000000000000002,5,0.052000000000000005,20
44,60,0.069,0.14,15,0.041,16
45,84,0.091,0.17,13,0.057,19
46,90,0.087,0.2,12,0.062,13
47,48,0.087,0.13,7,0.064,19
48,54,0.087,0.19,11,0.092,12
49,27,0.07100000000000001,0.18,5,0.07500000000000001,13
50,15,0.1,0.18,9,0.09,12
51,24,0.079,0.12000000000000001,13,0.056,14
52,27,0.088,0.12000000000000001,9,0.061,13
53,18,0.099,0.16,9,0.07100000000000001,4
54,84,0.1,0.11,5,0.077,6
55,36,0.052000000000000005,0.12000000000000001,13,0.096,17
56,90,0.061,0.12000000000000001,14,0.065,13
57,84,0.077,0.11,13,0.068,14
58,72,0.067,0.14,10,0.047,16
59,48,0.085,0.17,11,0.059,7
60,87,0.07600000000000001,0.19,12,0.092,3
61,87,0.079,0.18,7,0.065,3
62,39,0.062,0.13,10,0.056,20
63,21,0.07,0.1,10,0.095,14
64,45,0.092,0.2,6,0.048,13
65,39,0.094,0.19,7,0.08399999999999999,10
66,33,0.078,0.17,9,0.07,13
67,27,0.064,0.12000000000000001,12,0.044,13
68,24,0.061,0.17,13,0.092,13
69,36,0.077,0.13,15,0.1,9
70,90,0.068,0.2,13,0.04,13
71,36,0.097,0.12000000000000001,15,0.095,6
72,51,0.1,0.13,12,0.092,18
73,75,0.094,0.12000000000000001,7,0.098,17
74,24,0.060000000000000005,0.19,15,0.062,11
75,81,0.062,0.13,14,0.08,20
76,63,0.083,0.16,13,0.055,10
77,81,0.07100000000000001,0.18,5,0.08399999999999999,13
78,45,0.095,0.17,15,0.096,19
79,60,0.064,0.11,6,0.049,10
80,84,0.061,0.15000000000000002,7,0.097,6
81,84,0.07300000000000001,0.2,5,0.053000000000000005,16
82,33,0.053000000000000005,0.19,11,0.098,6
83,24,0.08,0.19,13,0.065,9
84,39,0.1,0.1,6,0.092,10
85,66,0.052000000000000005,0.16,7,0.083,6
86,63,0.066,0.2,13,0.041,4
87,84,0.081,0.12000000000000001,8,0.067,8
88,90,0.05,0.16,9,0.064,5
89,21,0.078,0.19,7,0.057,16
90,57,0.063,0.13,9,0.059,5
91,66,0.097,0.2,6,0.059,20
92,57,0.1,0.13,7,0.07200000000000001,14
93,81,0.097,0.11,7,0.053000000000000005,10
94,36,0.099,0.13,15,0.078,10
95,81,0.07300000000000001,0.16,12,0.041,7
96,15,0.095,0.16,15,0.096,11
97,75,0.07300000000000001,0.19,8,0.082,17
98,72,0.068,0.13,7,0.087,15
99,54,0.093,0.17,14,0.061,11
