Currency,Contract,Type,Direction,Quantity,Position,Filled Price,Funding,Fee Paid,Cash Flow,Change,Wallet Balance,Action,Time
USDT,PIRATEUSDT,TRADE,BUY,656,0,0.1725,0,-0.022632,0.8528,0.830168,118.4482499,CLOSE,2024/10/5 14:19
USDT,PIRATEUSDT,TRADE,BUY,623,-656,0.1725,0,-0.0214935,0.8099,0.7884065,117.6180819,CLOSE,2024/10/5 14:19
USDT,PIRATEUSDT,TRADE,BUY,279,-1279,0.1725,0,-0.0096255,0.3627,0.3530745,116.8296754,CLOSE,2024/10/5 14:19
USDT,PIRATEUSDT,TRADE,SELL,241,-1558,0.1738,0,-0.02303719,0,-0.02303719,116.4766009,OPEN,2024/10/5 14:19
USDT,PIRATEUSDT,TRADE,SELL,1317,-1317,0.1738,0,-0.12589203,0,-0.12589203,116.4996381,OPEN,2024/10/5 14:19
USDT,PIRATEUSDT,TRADE,BUY,159,0,0.1722,0,-0.00547596,0.3021,0.29662404,116.6255301,CLOSE,2024/10/5 14:13
USDT,PIRATEUSDT,TRADE,BUY,1401,-159,0.1722,0,-0.04825044,2.6619,2.61364956,116.3289061,CLOSE,2024/10/5 14:13
USDT,PIRATEUSDT,TRADE,SELL,1560,-1560,0.1741,0,-0.1493778,0,-0.1493778,113.7152565,OPEN,2024/10/5 13:55
USDT,1000APUUSDT,TRADE,SELL,245,0,0.3932,0,-0.0529837,-1.77630021,-1.82928391,113.8646343,CLOSE,2024/10/5 13:45
USDT,1000APUUSDT,TRADE,SELL,243,245,0.3932,0,-0.05255118,-1.76179979,-1.81435097,115.6939182,CLOSE,2024/10/5 13:45
USDT,1000APUUSDT,TRADE,BUY,245,488,0.4005,0,-0.05396738,0,-0.05396738,117.5082692,OPEN,2024/10/5 13:35
USDT,1000APUUSDT,TRADE,BUY,243,243,0.4004,0,-0.05351346,0,-0.05351346,117.5622366,OPEN,2024/10/5 13:35
USDT,1000APUUSDT,TRADE,SELL,495,0,0.4019,0,-0.0397881,3.4647,3.4249119,117.61575,CLOSE,2024/10/5 13:33
USDT,1000BEERUSDT,TRADE,SELL,10529,0,0.01584,0,-0.09172865,-3.1587,-3.25042865,114.1908381,CLOSE,2024/10/5 13:30
USDT,1000APUUSDT,TRADE,BUY,77,495,0.3951,0,-0.01673249,0,-0.01673249,117.4412668,OPEN,2024/10/5 12:59
USDT,1000APUUSDT,TRADE,BUY,14,418,0.3951,0,-0.00304227,0,-0.00304227,117.4579993,OPEN,2024/10/5 12:59
USDT,1000APUUSDT,TRADE,BUY,17,404,0.3951,0,-0.00369419,0,-0.00369419,117.4610415,OPEN,2024/10/5 12:59
USDT,1000APUUSDT,TRADE,BUY,14,387,0.395,0,-0.0030415,0,-0.0030415,117.4647357,OPEN,2024/10/5 12:59
USDT,1000APUUSDT,TRADE,BUY,159,373,0.395,0,-0.03454275,0,-0.03454275,117.4677772,OPEN,2024/10/5 12:59
USDT,1000APUUSDT,TRADE,BUY,14,214,0.3949,0,-0.00304073,0,-0.00304073,117.50232,OPEN,2024/10/5 12:59
USDT,1000APUUSDT,TRADE,BUY,14,200,0.3948,0,-0.00303996,0,-0.00303996,117.5053607,OPEN,2024/10/5 12:59
USDT,1000APUUSDT,TRADE,BUY,172,186,0.3947,0,-0.03733862,0,-0.03733862,117.5084007,OPEN,2024/10/5 12:59
USDT,1000APUUSDT,TRADE,BUY,14,14,0.3947,0,-0.00303919,0,-0.00303919,117.5457393,OPEN,2024/10/5 12:59
USDT,1000BEERUSDT,TRADE,BUY,10529,10529,0.01614,0,-0.09346594,0,-0.09346594,117.5487785,OPEN,2024/10/5 12:41
USDT,1000BEERUSDT,TRADE,SELL,4749,0,0.01615,0,-0.042183,-1.63596661,-1.67814961,117.6422444,CLOSE,2024/10/5 12:40
USDT,1000BEERUSDT,TRADE,SELL,1000,4749,0.01615,0,-0.0088825,-0.34448654,-0.35336904,119.320394,CLOSE,2024/10/5 12:40
USDT,1000BEERUSDT,TRADE,SELL,4544,5749,0.01615,0,-0.04036208,-1.56534685,-1.60570893,119.6737631,CLOSE,2024/10/5 12:40
USDT,1000BEERUSDT,TRADE,BUY,4618,10293,0.0165,0,-0.04190835,0,-0.04190835,121.279472,OPEN,2024/10/5 12:28
USDT,1000BEERUSDT,TRADE,BUY,5675,5675,0.01649,0,-0.05146942,0,-0.05146942,121.3213803,OPEN,2024/10/5 12:28
USDT,1000BEERUSDT,TRADE,SELL,2293,0,0.01638,0,-0.00751187,0.73376,0.72624813,121.3728498,CLOSE,2024/10/5 12:27
USDT,1000BEERUSDT,TRADE,SELL,8288,2293,0.01638,0,-0.02715149,2.65216,2.62500851,120.6466016,CLOSE,2024/10/5 12:27
USDT,1000BEERUSDT,TRADE,BUY,10581,10581,0.01606,0,-0.09346198,0,-0.09346198,118.0215931,OPEN,2024/10/5 12:24
USDT,1000BEERUSDT,TRADE,SELL,10715,0,0.01618,0,-0.03467374,3.75025,3.71557626,118.1150551,CLOSE,2024/10/5 12:22
USDT,1000BEERUSDT,TRADE,BUY,8806,10715,0.01583,0,-0.07666944,0,-0.07666944,114.3994788,OPEN,2024/10/5 12:06
USDT,1000BEERUSDT,TRADE,BUY,909,1909,0.01583,0,-0.00791421,0,-0.00791421,114.4761483,OPEN,2024/10/5 12:06
USDT,1000BEERUSDT,TRADE,BUY,1000,1000,0.01583,0,-0.0087065,0,-0.0087065,114.4840625,OPEN,2024/10/5 12:06
USDT,1000BEERUSDT,TRADE,SELL,10999,0,0.01576,0,-0.03466885,3.51968,3.48501115,114.492769,CLOSE,2024/10/5 12:05
USDT,1000BEERUSDT,TRADE,BUY,10999,10999,0.01544,0,-0.09340351,0,-0.09340351,111.0077578,OPEN,2024/10/5 12:02
USDT,1000BEERUSDT,TRADE,SELL,934,0,0.01546,0,-0.00288793,0.2988775,0.29598957,111.1011614,CLOSE,2024/10/5 12:00
USDT,1000BEERUSDT,TRADE,SELL,10276,934,0.01546,0,-0.0317734,3.2882925,3.2565191,110.8051718,CLOSE,2024/10/5 12:00
USDT,1000BEERUSDT,TRADE,BUY,3,11210,0.01515,0,-0.000025,0,-0.000025,107.5486527,OPEN,2024/10/5 11:51
USDT,1000BEERUSDT,TRADE,BUY,496,11207,0.01514,0,-0.0041302,0,-0.0041302,107.5486777,OPEN,2024/10/5 11:51
USDT,1000BEERUSDT,TRADE,BUY,496,10711,0.01514,0,-0.0041302,0,-0.0041302,107.5528079,OPEN,2024/10/5 11:51
USDT,1000BEERUSDT,TRADE,BUY,9215,10215,0.01514,0,-0.07673331,0,-0.07673331,107.5569381,OPEN,2024/10/5 11:51
USDT,1000BEERUSDT,TRADE,BUY,1000,1000,0.01514,0,-0.008327,0,-0.008327,107.6336714,OPEN,2024/10/5 11:51
USDT,1000BEERUSDT,TRADE,SELL,11413,0,0.01519,0,-0.0346727,3.36799,3.3333173,107.6419984,CLOSE,2024/10/5 11:50
USDT,1000BEERUSDT,TRADE,BUY,814,11413,0.0149,0,-0.00667073,0,-0.00667073,104.3086811,OPEN,2024/10/5 11:37
USDT,1000BEERUSDT,TRADE,BUY,3166,10599,0.0149,0,-0.02594537,0,-0.02594537,104.3153518,OPEN,2024/10/5 11:37
USDT,1000BEERUSDT,TRADE,BUY,87,7433,0.0149,0,-0.00071297,0,-0.00071297,104.3412972,OPEN,2024/10/5 11:37
USDT,1000BEERUSDT,TRADE,BUY,597,7346,0.0149,0,-0.00489242,0,-0.00489242,104.3420102,OPEN,2024/10/5 11:37
USDT,1000BEERUSDT,TRADE,BUY,3,6749,0.0149,0,-0.00002459,0,-0.00002459,104.3469026,OPEN,2024/10/5 11:37
