2024-09-02 11:15:24,096 - DEBUG - Initializing HTTP session.
2024-09-02 11:15:25,487 - INFO - 1000000MOGUSDT has been tested. win rate: 0.5204081632653061, trade count: 98
2024-09-02 11:15:25,612 - INFO - 1000000PEIPEIUSDT has been tested. win rate: 0.6, trade count: 165
2024-09-02 11:15:25,747 - INFO - 10000COQUSDT has been tested. win rate: 0.5588235294117647, trade count: 34
2024-09-02 11:15:25,884 - INFO - 10000WENUSDT has been tested. win rate: 0.5208333333333334, trade count: 48
2024-09-02 11:15:26,017 - INFO - 1000APUUSDT has been tested. win rate: 0.6201117318435754, trade count: 179
2024-09-02 11:15:26,148 - INFO - 1000BEERUSDT has been tested. win rate: 0.5704225352112676, trade count: 426
2024-09-02 11:15:26,293 - INFO - 1000BONKUSDT has been tested. win rate: 0.45454545454545453, trade count: 11
2024-09-02 11:15:26,431 - INFO - 1000FLOKIUSDT has been tested. win rate: 0.5507246376811594, trade count: 69
2024-09-02 11:15:26,569 - INFO - 1000LUNCUSDT has been tested. win rate: 0.6111111111111112, trade count: 18
2024-09-02 11:15:26,704 - INFO - 1000RATSUSDT has been tested. win rate: 0.5277777777777778, trade count: 36
2024-09-02 11:15:26,841 - INFO - 1000TURBOUSDT has been tested. win rate: 0.5, trade count: 20
2024-09-02 11:15:26,981 - INFO - 1000XECUSDT has been tested. win rate: 0.8333333333333334, trade count: 6
2024-09-02 11:15:27,118 - INFO - 1INCHUSDT has been tested. win rate: 0.5, trade count: 8
2024-09-02 11:15:27,251 - INFO - A8USDT has been tested. win rate: 0.6119402985074627, trade count: 67
2024-09-02 11:15:27,389 - INFO - ACEUSDT has been tested. win rate: 0.26666666666666666, trade count: 15
2024-09-02 11:15:27,527 - INFO - ACHUSDT has been tested. win rate: 0.4444444444444444, trade count: 9
2024-09-02 11:15:27,657 - INFO - ADAUSDT has been tested. win rate: 0.8333333333333334, trade count: 6
2024-09-02 11:15:27,792 - INFO - AERGOUSDT has been tested. win rate: 0.5, trade count: 12
2024-09-02 11:15:27,929 - INFO - AEROUSDT has been tested. win rate: 1.0, trade count: 6
2024-09-02 11:15:28,064 - INFO - AEVOUSDT has been tested. win rate: 0.45454545454545453, trade count: 11
2024-09-02 11:15:28,201 - INFO - AGIUSDT has been tested. win rate: 0.6666666666666666, trade count: 18
2024-09-02 11:15:28,333 - INFO - AGLDUSDT has been tested. win rate: 0.8461538461538461, trade count: 13
2024-09-02 11:15:28,467 - INFO - AIOZUSDT has been tested. win rate: 0.8125, trade count: 16
2024-09-02 11:15:28,597 - INFO - AIUSDT has been tested. win rate: 0.46153846153846156, trade count: 26
2024-09-02 11:15:28,734 - INFO - AKTUSDT has been tested. win rate: 0.5714285714285714, trade count: 63
2024-09-02 11:15:28,873 - INFO - ALICEUSDT has been tested. win rate: 0.5, trade count: 10
2024-09-02 11:15:29,017 - INFO - ALPACAUSDT has been tested. win rate: 0.48333333333333334, trade count: 60
2024-09-02 11:15:29,154 - INFO - ALPHAUSDT has been tested. win rate: 0.5833333333333334, trade count: 12
2024-09-02 11:15:29,290 - INFO - ALTUSDT has been tested. win rate: 0.6190476190476191, trade count: 21
2024-09-02 11:15:29,427 - INFO - ANKRUSDT has been tested. win rate: 0.5714285714285714, trade count: 7
2024-09-02 11:15:29,561 - INFO - APEUSDT has been tested. win rate: 0.5, trade count: 12
2024-09-02 11:15:29,699 - INFO - APEXUSDT has been tested. win rate: 0, trade count: 0
2024-09-02 11:15:29,833 - INFO - API3USDT has been tested. win rate: 0.2727272727272727, trade count: 11
2024-09-02 11:15:29,977 - INFO - APTUSDT has been tested. win rate: 0.3142857142857143, trade count: 35
2024-09-02 11:15:30,117 - INFO - ARKMUSDT has been tested. win rate: 0.5, trade count: 46
2024-09-02 11:15:30,257 - INFO - ARKUSDT has been tested. win rate: 0.7142857142857143, trade count: 7
2024-09-02 11:15:30,394 - INFO - ARPAUSDT has been tested. win rate: 0.7142857142857143, trade count: 14
2024-09-02 11:15:30,533 - INFO - ASTRUSDT has been tested. win rate: 0.35714285714285715, trade count: 14
2024-09-02 11:15:30,673 - INFO - ATAUSDT has been tested. win rate: 0.4583333333333333, trade count: 24
2024-09-02 11:15:30,810 - INFO - ATHUSDT has been tested. win rate: 0.5, trade count: 14
2024-09-02 11:15:30,941 - INFO - AUDIOUSDT has been tested. win rate: 0.6041666666666666, trade count: 96
2024-09-02 11:15:31,074 - INFO - AVAILUSDT has been tested. win rate: 0.5, trade count: 14
2024-09-02 11:15:31,210 - INFO - AXLUSDT has been tested. win rate: 0.5714285714285714, trade count: 14
2024-09-02 11:15:31,348 - INFO - AXSUSDT has been tested. win rate: 0.6, trade count: 5
2024-09-02 11:15:31,485 - INFO - BADGERUSDT has been tested. win rate: 0.7142857142857143, trade count: 7
